index,Отзывы,Звузды,original
801,отличный все подошло за такую сумму продавцу ,5,Отличный всё подошло за такую сумму. Продавцу 👍👍👍
802,"все работает, рекомендую, спасибо продавцу",5,"Все работает, рекомендую, спасибо продавцу"
803,"отличный товар, быстрая доставка спасибо продавцу",5,"Отличный товар, быстрая доставка. Спасибо продавцу."
804,"все целое, упаковано хорошо, работает за такую цену  отлично",5,"Все целое, упаковано хорошо, работает. За такую цену - отлично!"
805,"работает, правда вилка вставляется туго, вытаскивается с трудом брала по скидке посмотрим, сколько прослужит",5,"Работает, правда вилка вставляется туго, вытаскивается с трудом. Брала по скидке. Посмотрим, сколько прослужит."
806,"хорошие, пришли без дефектов, ухватил за 60р",5,"Хорошие, пришли без дефектов, ухватил за 60р)"
807,"работает отменно, без изьянов закажу еще пару штук фото к сожалению не могу приложить",5,"Работает отменно, без изьянов. Закажу ещё пару штук. Фото к сожалению не могу приложить."
808,"хорошая вещь, когда дома много гирлянд взяла 2 штуки все работает, и цена низкая просто такие же удлинители есть и по 100 рублей, и по 200",5,"Хорошая вещь, когда дома много гирлянд😂 Взяла 2 штуки. Всё работает, и цена низкая. Просто такие же удлинители есть и по 100 рублей, и по 200..."
809,"можно было лучше упаковать, а так нормально",5,"Можно было лучше упаковать, а так нормально)))"
810,отлично справляется со своей функцией спасибо,5,Отлично справляется со своей функцией. Спасибо
811,"брала два удлинителя ,все подошло рекомендую",5,"Брала два удлинителя ,все подошло рекомендую"
812,"покупала 2 удлинителя, из которых рабочим оказался только один в него просто не вставляется розетка как можно положить такое покупателю понимаю, что не так дорого стоит, но осадок неприятный",3,"Покупала 2 удлинителя, из которых рабочим оказался только один. В него просто не вставляется розетка. Как можно положить такое покупателю? Понимаю, что не так дорого стоит, но осадок неприятный"
813,"хороший удлинитель, тонкий, прозрачный, то что нужно",5,"Хороший удлинитель, тонкий, прозрачный, то что нужно!"
814,"хороший удлинитель для гирлянды маленький, тоненький, незаметный длинный",5,"Хороший удлинитель для гирлянды. Маленький, тоненький, незаметный. Длинный."
815,"пришли в целости и сохранности,очень быстро пришли,работают,все отличнобольшое спасибо",5,"Пришли в целости и сохранности,очень быстро пришли,работают,всё отлично!Большое спасибо!"
816,все работает,5,Все работает!
817,"товар соответствует описанию пришел исправный уже удлинили свою гирлянду, все работает",5,"Товар соответствует описанию. Пришёл исправный. Уже удлинили свою гирлянду, всё работает."
818,работает к китайским гирляндам подошел идеально ,5,Работает. К китайским гирляндам подошёл идеально .
819,"работает, с длиной угадала цена отличная",5,"Работает, с длиной угадала. Цена отличная"
820,"супер, отличный удлинитель работает все отлично",5,"Супер, отличный удлинитель. Работает все отлично"
821,очень быстрая доставка удлинитель рабочий благодарю,5,Очень быстрая доставка. Удлинитель рабочий. Благодарю
822,не понимаю откуда хорошие отзывы,2,Не понимаю откуда хорошие отзывы....
823,спасибо большое за качество доставкивсе целое и рабочие,5,"Спасибо большое за качество доставки
Все целое и рабочие"
824,хороший удлинитель все работает пришел очень быстро продавца и товар рекомендую самая низкая цена,5,Хороший удлинитель. Всё работает. Пришел очень быстро. Продавца и товар рекомендую!!!! Самая низкая цена!!!!
825,удлинитель работает ,5,Удлинитель работает 👍
826,"нормальный удлинитель, все работает пахнет не больше остального пластика",5,"Нормальный удлинитель, всё работает. Пахнет не больше остального пластика."
827,хороший удлинитель пришел быстро и цена приятная,5,Хороший удлинитель. Пришёл быстро. И цена приятная)
828,купить эту штуковину было лучшим решением,5,Купить эту штуковину было лучшим решением
829,все норм состояние рабочее рекомендую,5,Все норм. Состояние рабочее. Рекомендую!!!
830,удлинитель работает отлично за такую цену просто  спасибо продавцу,5,Удлинитель работает отлично! За такую цену просто 👍 Спасибо продавцу
831,"заказывал 2шт по 3 м за 62рубс карты списали 124,00руб в итоге получила только 1шт не красиво, или верните остаток или дошлите удлинитель",1,"Заказывал 2шт по 3 м за 62руб(с карты списали 124,00руб). В итоге получила только 1шт. Не красиво, или верните остаток или дошлите удлинитель."
832,"удлинитель для гирлянды замечательный доставка быстрая, сервис отличный буду всегда здесь заказывать спасибо большоерекомендую",5,"Удлинитель для гирлянды замечательный! Доставка быстрая, сервис отличный! Буду всегда здесь заказывать! Спасибо большое!
Рекомендую!"
833,товар пришел вовремя в рабочем состоянии,5,Товар пришёл вовремя. В рабочем состоянии.
834,удлинитель работает хорошо доставка быстрая,5,Удлинитель работает хорошо. Доставка быстрая.
835,"отличный удлинитель, не смотря на цену все работает",5,"Отличный удлинитель, не смотря на цену. Все работает!"
836,за свои 62 рубля отлично  все работает заказ пришел быстро,5,За свои 62 рубля отлично 👍. Все работает. Заказ пришел быстро.
837,"хороший удлинитель, очень полезный девайс для всякого рода гирлянд и недорого",5,"Хороший удлинитель, очень полезный девайс для всякого рода гирлянд и недорого)))"
838,"товар пришел быстро, в отличном состоянии",5,"Товар пришёл быстро, в отличном состоянии!"
839,"дошло все целое спасибоизмерела, действительно 3м",5,"Дошло всё целое. Спасибо.
Измерела, действительно 3м."
840,"дефектов нет,товар хороший, доставлен без задержки",5,"Дефектов нет,товар хороший, доставлен без задержки"
841,"очень тонкая проволочка, нужно относится бережно а так мне повезло удлинитель пришел в рабочем состоянии без повреждений за 62 руб взяла",5,"Очень тонкая проволочка, нужно относится бережно. А так мне повезло удлинитель пришёл в рабочем состоянии без повреждений. За 62 руб взяла."
842,"хороший, правда очень тонкий провод ,но за эти деньги отлично, работает",5,"Хороший, правда очень тонкий провод ,но за эти деньги отлично, работает"
843,"не первый раз беру,отличные удленнителиоднозначно рекомендую",5,"Не первый раз беру,отличные удленнители.Однозначно рекомендую"
844,заказ пришел быстро все работаетспасибо,5,"Заказ пришёл быстро. Все работает.
Спасибо"
845,"удлинитель подошел, все работает, все отлично, доставка вовремя ",5,"Удлинитель подошёл, все работает, все отлично, доставка вовремя) 👍"
846,"удлинитель отличный, все подошло, все прекрасно",5,"Удлинитель отличный, все подошло, все прекрасно"
847,замечательный удлинитель,5,Замечательный удлинитель
848,"очень хлипкий, но 62 руб, а взяла за 84р тот крепкий, беру 4 шт уже, для гирлянды пойдет, не знаю на следующий год доживут или нет",3,"Очень хлипкий, но 62 руб, а взяла за 84р тот крепкий, беру 4 шт уже, для гирлянды пойдёт, не знаю на следующий год доживут или нет"
849,очень тоненький на время думаю хватит посмотрим при использовании на вид вроде все нормально,5,Очень тоненький. На время думаю хватит. Посмотрим при использовании. На вид вроде все нормально.
850,"все отлично,в рабочем состоянииспасибо производителю,продавцу и вб за быструю доставку",5,"Всё отлично,в рабочем состоянии👌Спасибо производителю,продавцу и ВБ за быструю доставку."
851,"все хорошо брала 2 удлинителя,оба отлично работают нужная вещь спасибо",5,"Все хорошо. Брала 2 удлинителя,оба отлично работают. Нужная вещь. Спасибо."
852,упакован нормально запаха нет  новое всегда пахнет работает рекомендую за такие деньги,5,Упакован нормально. Запаха нет ( новое всегда пахнет). Работает. Рекомендую за такие деньги
853,"хороший удлинитель как и гирлянды, такого же цвета",5,"Хороший удлинитель. Как и гирлянды, такого же цвета"
854,"пришел удлинитель целый, на вид рабочий еще не использовала",5,"Пришёл удлинитель целый, на вид рабочий ещё не использовала"
855,за такую цену отличный товар буду еще заказывать,5,За такую цену отличный товар 👍🏻буду ещё заказывать
856,"товар быстро пришел, все работает, все хорошо",5,"Товар быстро пришёл, все работает, все хорошо!"
857,"работает за такую цену о, ень даже хорошо",5,"Работает. За такую цену о, ень даже хорошо"
858,"все работает, спасибо продавцу",5,"Все работает, спасибо продавцу!"
859,товар пришел вовремя упаковка целая удлинитель в рабочем состоянии соответствует заявленным характеристикам спасибо большое,5,Товар пришел вовремя. Упаковка целая. Удлинитель в рабочем состоянии. Соответствует заявленным характеристикам. Спасибо большое.
860,не работает,1,Не работает
861,"пришел целым , все работает , все нравится",5,"Пришёл целым , всё работает , всё нравится"
862,"качество ужасное, на первый взгляд ничего не предвещало беды, включая гирлянду услышали треск и повалил дым вся проводка обгорела изнутрихоть гирлянду не смог угробить, но сильно напугал",1,"Качество ужасное, на первый взгляд ничего не предвещало беды, включая гирлянду услышали треск и повалил дым. Вся проводка обгорела изнутри.Хоть гирлянду не смог угробить, но сильно напугал."
863,"пришел не работающий совсем, жаль в магазине проверили",1,"Пришёл не работающий совсем, жаль в магазине проверили("
864,"тоненькая странно заказала и оплатила 2, пришла одна вторая в пути гдето за такую цену пойдет",5,"Тоненькая. Странно заказала и оплатила 2, пришла одна( Вторая в пути. Где-то... За такую цену пойдёт."
865,"такая маленькая вещь, а сколько счастья давно искала",5,"Такая маленькая вещь, а сколько счастья! Давно искала)))"
866,"хлипкий удлинитель ,очень тоненькийза свою цену пойдет  работает и это главное",5,"Хлипкий удлинитель ,очень тоненький.За свою цену пойдёт 👍 работает и это главное"
867,"все супер, оба удлинителя работают замечательно, что придумали такой удлинитель для гирлянд доставка быстрая  упаковано хорошо  спасибо продавцу ",5,"Все супер, оба удлинителя работают👍😉 Замечательно, что придумали такой удлинитель для гирлянд. Доставка быстрая 🚚 упаковано хорошо 🛍 спасибо продавцу 💜"
868,хорошие удлинители все работает доставка быстрая спасибо ,5,Хорошие удлинители. Все работает. Доставка быстрая. Спасибо ❣️
869,все работает доставка быстрая спасибо продавцу,5,Все работает. Доставка быстрая. Спасибо продавцу
870,"посмотрела отзывы с фото и было страшно что придет  еще и платный возврат  но оказалось зря переживала  все ок , работает отлично  хлипковата , но за такую стоимость в самый раз",5,"Посмотрела отзывы с фото и было страшно что придет . Еще и платный возврат . Но оказалось зря переживала )) все ок , работает отлично . Хлипковата , но за такую стоимость в самый раз"
871,"очень тоненький, хлипкий какой то,но работает ,",5,"Очень тоненький, хлипкий какой то,но работает ,"
872,отличный товар быстрая доставка отличная работа пункта выдачи,5,Отличный товар. Быстрая доставка. Отличная работа пункта выдачи.
873,"небольшой запах присутствует повреждений и потертостей нет упакован в один пакет,но все целое доставка быстрая",5,"Небольшой запах присутствует. Повреждений и потёртостей нет. Упакован в один пакет,но все целое. Доставка быстрая."
874,"пока не пробовала на вид, без повреждений",5,"Пока не пробовала. На вид, без повреждений"
875,"не вставляется до конца, изза этого отходит",3,"Не вставляется до конца, из-за этого отходит"
876,пришел не рабочий удлинитель,1,Пришёл не рабочий удлинитель
877,"все отлично , работает",5,"Все отлично , работает"
878,"комплекция хлипкая, но работает, что уже хорошо",5,"Комплекция хлипкая, но работает, что уже хорошо"
879,"удлинитель конечно за 62 р сойдет, но нужно за ним посматривать скорее всего его дают бесплатно с гирляндой, тк видно наклейку с ценой 0 руб а тут решили его продать отдельно но это предположения провод очень тонкий, вилка большое сомнение надежности время покажет",3,"Удлинитель конечно за 62 р. сойдет, но нужно за ним посматривать. Скорее всего его дают бесплатно с гирляндой, т.к. видно наклейку с ценой 0 руб. А тут решили его продать отдельно. Но это предположения. Провод очень тонкий, вилка -большое сомнение надежности. Время покажет."
880,пришло все целоецена 221р вообще отличноспасибо продавцу,5,Пришло все целое.цена 2.21р вообще отлично.Спасибо продавцу
881,"из двух, один оказался не рабочим вроде мелочь, а не приятно",4,"Из двух, один оказался не рабочим. Вроде мелочь, а не приятно."
882,"пришла целая, без повреждений все работает за такие деньки вообще супер спасибо, рекомендую",5,"Пришла целая, без повреждений) все работает. За такие деньки вообще супер. Спасибо, рекомендую"
883,"работает, все нормально  спасибо",5,"Работает, все нормально ) спасибо"
884,"функцию свою выполняет, за такие деньги, все прекрасно спасибо",5,"Функцию свою выполняет, за такие деньги, все прекрасно! Спасибо!"
885,"отлично все, свою функцию выполняет, сливается с гирляндой и цена очень бюджетная, спасибо ",5,"Отлично всё, свою функцию выполняет, сливается с гирляндой и цена очень бюджетная, спасибо ☺️"
886,"отличный провод,работает",5,"Отличный провод,Работает"
887,"отличный удлинитель, пришел быстро, все работает, спасибо большое ",5,"Отличный удлинитель, пришел быстро, все работает, спасибо большое 😊"
888,для ламп тоже подходит,5,Для ламп тоже подходит!
889,"отличная вещь, в рабочем состоянии заказ пришел в срок",5,"Отличная вещь, в рабочем состоянии. Заказ пришёл в срок"
890,пришло все во время все работает рекомендую,5,Пришло все во время. Все работает. Рекомендую.
891,"товар хороший,просто заказала не на тот адресне смогла забрать",5,"Товар хороший,просто заказала не на тот адрес.Не смогла забрать!!!!"
892,"упаковано хорошо, работаетя всем довольна",5,"Упаковано хорошо, работает.Я всем довольна."
893,"как заявлено, работает от потолка до пола хватило с запасом",5,"Как заявлено, работает. От потолка до пола хватило с запасом)))"
894,отличный удлинитель для гирлянды маленький и еле заметный,5,Отличный удлинитель для гирлянды. Маленький и еле заметный
895,спасибо пришло все быстро все хорошо упаковано все работает я довольна,5,Спасибо пришло всё быстро всё хорошо упаковано всё работает я довольна!
896,все работает доставка быстрая спасибо продавцу,5,Всё работает. Доставка быстрая. Спасибо продавцу
897,"понравился, прозрачный, как раз такой искали",5,"Понравился, прозрачный, как раз такой искали"
898,"вилка не входит в штекер, так как он пришел бракованный, погнуты контакты",1,"Вилка не входит в штекер, так как он пришел бракованный, погнуты контакты((("
899,"просто удлинитель, работает",5,"Просто удлинитель, работает"
900,хороший удлинитель,5,Хороший удлинитель.
901,"пришло вс целое, довольны",5,"пришло всë целое, довольны!!"
902,"бракованный удлинитель оказался ,не советую",1,"Бракованный удлинитель оказался ,не советую"
903,"удлинитель невидимый, тонкий, отлично подошел, супер",5,"Удлинитель невидимый, тонкий, отлично подошёл, супер)))"
904,"целый удлинитель, рекомендую пришли быстро",5,"Целый удлинитель, рекомендую. Пришли быстро"
905,"плохой контакт, в целом удлинитель исправный",5,"Плохой контакт, в целом удлинитель исправный"
906,"хороший удлинитель, целый спасибо продавцу",5,"Хороший удлинитель, целый. Спасибо продавцу."
907,товар пришел очень быстро все работоет спасибо,5,Товар пришел очень быстро все работоет спасибо.
908,"все отлично, работает ",5,"Всё отлично, работает 👍🏻"
909,"идеально подошел к гирлянде, довольна спасибо",5,"Идеально подошёл к гирлянде, довольна) спасибо!"
910,"купила за 55, все работает 1 в 1 как другой такой же за 250",5,"Купила за 55₽, все работает. 1 в 1 как другой такой же за 250₽"
911,трехметровый удлинитель четко подошел к гирляндезанавес,5,Трехметровый удлинитель четко подошел к гирлянде-занавес
912,"удленнили гирлянду до розетки, все работает ",5,"Удленнили гирлянду до розетки, всё работает 👌👍"
913,"супер, работает рекомендую беру второй раз",5,"Супер, работает. Рекомендую. Беру второй раз."
914,"все отлично, все работает сразу же еще заказала",5,"Всё отлично, всё работает. Сразу же ещё заказала"
915,"удлинитель целый,все работаетспасибо,буду заказывать у вас еще",5,"Удлинитель целый,все работает😍Спасибо,буду заказывать у вас еще"
916,"на вид тонкий шнур, который легко переломиться пользуюсь с предельной осторожностью не хочу испортить новую вещь, которую нельзя будет починить немного не подходит к розетке, но аккуратно включать можно в целом все работает к гирлянде отлично подходит",4,"На вид тонкий шнур, который легко переломиться. Пользуюсь с предельной осторожностью. Не хочу испортить новую вещь, которую нельзя будет починить. Немного не подходит к розетке, но аккуратно включать можно. В целом все работает. К гирлянде отлично подходит."
917,"хороший удлинитель, спасибо продавцу ",5,"Хороший удлинитель, спасибо продавцу 😊"
918,"товар соответствует описанию заводская упаковка в целости сохранности рад покупке спасибо продавцу, успехов и процветания в новом году рекомендую",5,"Товар соответствует описанию. Заводская упаковка. В целости сохранности. Рад покупке! Спасибо продавцу, успехов и процветания в Новом году! Рекомендую"
919,качественный удлинитель работает без нареканий,5,Качественный удлинитель работает без нареканий
920,хорошая длина все работает и цена радует спасибо за товар,5,Хорошая длина. Все работает. И цена радует. Спасибо за товар.
921,"своих денег стоит, работает",5,"Своих денег стоит, работает"
922,удлинитель не работает есть брак очень жаль,1,Удлинитель не работает. Есть брак. Очень жаль(((
923,"удлинитель три метра, работает отлично, подошел спасибо, рекомендую",5,"Удлинитель три метра, работает отлично, подошёл. Спасибо, рекомендую."
924,"все работает, спасибо",5,"Все работает, спасибо"
925,все работаетрекомендую,5,Все работает.Рекомендую!!!
926,"заказали за 99руб очень жалею, что сразу не распаковала обнаружился порез ктото специально сделал очень ровный",1,"Заказали за 99руб. Очень жалею, что сразу не распаковала. Обнаружился порез. Кто-то специально сделал очень ровный"
927,"удлинитель пришел вовремя, все работаетпродавцу спасибо",5,"Удлинитель пришёл вовремя, все работает.Продавцу спасибо)"
928,размер соответствует работает покупкой довольна,5,Размер соответствует. Работает. Покупкой довольна.
929,"все работает, спасибо ",5,"Всё работает, спасибо ☺️"
930,"пришло все в рабочем состоянии, очень довольна покупкой, теперь не нужен удлинитель",5,"Пришло все в рабочем состоянии, очень довольна покупкой, теперь не нужен удлинитель."
931,"спасибо огромное, все работает, удлинитель очень удобный",5,"Спасибо огромное, всё работает, удлинитель очень удобный"
932,все работает очень удобно,5,Все работает. Очень удобно
933,"обычный удлинитель, работает, цена 55рвполне приемлемая",5,"Обычный удлинитель, работает, цена 55р.вполне приемлемая."
934,"качество ужасное, вилка кривая, с окалинами как будто уже в какойто розетке оплавилась и ее мне отправили возврат же платный, можно класть под этим соусом людям всякое г к новому году спасибо",3,"Качество ужасное, вилка кривая, с окалинами. Как будто уже в какой-то розетке оплавилась и ее мне отправили! Возврат же платный, можно класть под этим соусом людям всякое г... к Новому году. Спасибо!"
935,"пришло, все работает, прада длина 290,а не три метра, но это не беда",5,"Пришло, всё работает, прада длина 2.90,а не три метра, но это не беда."
936,"хорошая вещь раньше не знала, что такое есть рекомендую",5,"Хорошая вещь. Раньше не знала, что такое есть. Рекомендую"
937,"хлипкий, разваливается",1,"Хлипкий, разваливается"
938,"удлинитель хороший, удобный, работает спасибо большое",5,"Удлинитель хороший, удобный, работает. Спасибо большое."
939,"все целое, работает отдельное спасибо за цену",5,"Всё целое, работает. Отдельное спасибо за цену!"
940,спасибо ,5,Спасибо 😍
941,"рабочий удлинитель, все в порядке, спасибо продавцу",5,"Рабочий удлинитель, все в порядке, спасибо продавцу."
942,"как то удлинитель хлипенькийвилка входит с трудом,может конечно ,,разработается,,но,честно,побоюсь оставлять гирлянду работать без присмотра",4,"Как то удлинитель хлипенький....вилка входит с трудом,может конечно ,,разработается,,..Но,честно,побоюсь оставлять гирлянду работать без присмотра..."
943,"удлинитель прекрасно работает, тонкий и не сильно заметный",5,"Удлинитель прекрасно работает, тонкий и не сильно заметный."
944,"точно такие взяли за 150, так что цена отличная и ср своей функцией справляется",5,"Точно такие взяли за 150, так что цена отличная и ср своей функцией справляется"
945,"все работает, спасибо ",5,"Всё работает, спасибо 👏🏻"
946,за 55 рублей отличный 3х метровый удлинитель спасибо все рабочее,5,За 55 рублей отличный 3-х метровый удлинитель. Спасибо! Все рабочее!!
947,заказала три штуки по смешной цене хороший товар,5,Заказала три штуки. По смешной цене хороший товар!
948,"очень довольна покупкой, удобно, все хорошо работает, рекомендую к покупке",5,"Очень довольна покупкой, удобно, всё хорошо работает, рекомендую к покупке."
949,"удлинитель отличный, очень нужная вещь всегда мучались с гирляндой и розеткой все работает",5,"Удлинитель отличный, очень нужная вещь. Всегда мучались с гирляндой и розеткой. Все работает"
950,"заказала 2 шт оба работают исправно упаковано лаконично, но надежно",5,"Заказала 2 шт. Оба работают исправно. Упаковано лаконично, но надежно"
951,здравствуйтевсе как в описании работаеткачество отличное,5,"Здравствуйте.
Всё как в описании. Работает.
Качество отличное."
952,"хороший, дешевый удлинитель, заказывала для садика, чтобы поверить гирлянд у на окно",5,"Хороший, дешёвый удлинитель, заказывала для садика, чтобы поверить гирлянд у на окно"
953,"все хорошо,работает",5,"Все хорошо,работает"
954,"удлинитель отличный, все работает, за такую цену вообще подарок",5,"Удлинитель отличный, все работает, за такую цену вообще подарок"
955,"хороший удлинитель, правда первый раз пришел испачканным в чем то липком, но не страшно я перезаказала",5,"Хороший удлинитель, правда первый раз пришёл испачканным в чем то липком, но не страшно я перезаказала)"
956,"очень хорошие удлинители отлично работают, рекомендую",5,"Очень хорошие удлинители. Отлично работают, рекомендую!"
957,"спасибо хорошо упаковано,работает",5,"Спасибо. Хорошо упаковано,работает."
958,работает подключила гирлянду,5,Работает. Подключила гирлянду.
959,"удлинитель пришел целый,работает заказывала два 3метровых пришли два 5метровых и один 3метровый ну да ладно,в хозяйстве пригодится",5,"Удлинитель пришел целый,работает. Заказывала два 3метровых. Пришли два 5метровых и один 3метровый. Ну да ладно,в хозяйстве пригодится."
960,"наконец то, никак не могла купить , теперь удобно подключать гирлянды, длинна позволяет",5,"Наконец то, никак не могла купить , теперь удобно подключать гирлянды, длинна позволяет."
961,все работает рекомендую упаковано отлично,5,Всё работает. Рекомендую. Упаковано отлично.
962,"спасибо, все устроило",5,"Спасибо, всё устроило."
963,"удлинитель пришел так идеально упакован,что не сразу и размотаешь,спасибо,на новый год испробуем",5,"Удлинитель пришёл так идеально упакован,что не сразу и размотаешь,спасибо,на Новый год испробуем!"
964,"отличный удлинитель, за такою цену думала проводки будут совсем тонкие но товар порадовал рекомендую",5,"Отличный удлинитель, за такою цену думала проводки будут совсем тонкие. Но товар порадовал. Рекомендую"
965,"хороший удлинитель, работает заказывала за 70 рублей по наводке блогера в телеграм vseskidkiyar спасибо",5,"Хороший удлинитель, работает. Заказывала за 70 рублей по наводке блогера в телеграм vseskidkiyar. Спасибо."
966,сильный запах пластика немного кривинькие вилка  чтобы не заискрило а так обычный китайский вещ спасибо купила за 2 рубля с копейкамиподключила все отлично чо греха таить у меня много китайского г и я его люблю,4,"Сильный запах пластика! Немного кривинькие вилка! 🤞 Чтобы не заискрило! А так обычный китайский вещ ....спасибо купила за 2 рубля с копейками...подключила все отлично! Чо греха таить у меня много китайского"" г"" и я его люблю!🤞❤️😘"
967,"удлинитель хороший,длинный",5,"Удлинитель хороший,длинный"
968,соответствует описанию,5,Соответствует описанию
969,"удлинитель пришел, но не быстро, все работает",4,"Удлинитель пришёл, но не быстро, все работает"
970,"удлинитель работает гирлянда до розетки не дотягивалась пару метров, а данный удлинитель помог решить проблему советую к покупке",5,"Удлинитель работает. Гирлянда до розетки не дотягивалась пару метров, а данный удлинитель помог решить проблему. Советую к покупке!"
971,сильный запах,4,Сильный запах
972,"работает, пришел быстро",5,"Работает, пришёл быстро."
973,работает рекомендую,5,"Работает .
Рекомендую."
974,все соответствует описанию работает спасибо,5,Всё соответствует описанию. Работает. Спасибо
975,отличный удлинитель все работает рекомендую,5,Отличный удлинитель. Всё работает. Рекомендую
976,"все пришло целое, в рабочем состоянии заказывала не первый раз удобная вещьспасибо ",5,"Все пришло целое, в рабочем состоянии. Заказывала не первый раз. Удобная вещь.Спасибо ."
977,"аккуратный, удобный удлинитель для гирлянды работает отлично взяли 2 штуки",5,"Аккуратный, удобный удлинитель для гирлянды. Работает отлично. Взяли 2 штуки."
978,заказывала не в первый разотличные удлинителипришли быстро хорошо упакованысоответствуют описанию а цена очень порадовала спасибо большое советую,5,Заказывала не в первый раз.Отличные удлинители.пришли быстро. Хорошо упакованы.Соответствуют описанию. А цена очень порадовала. Спасибо большое. Советую.
979,"идеальный удлинитель для гирлянд все хорошо держится, провод не видно, длина хорошая, везде дотягивается упаковано хорошо, повреждений нет все исправно",5,"Идеальный удлинитель для гирлянд. Всё хорошо держится, провод не видно, длина хорошая, везде дотягивается. Упаковано хорошо, повреждений нет. Всё исправно."
